id_supplier,nama_supplier,kategori_barang,kota,provinsi,no_telepon,email ,tanggal_kerjasama,timestamp_update_date,timestamp_update_time,rating_supplier,status_aktif,npwp
SUP2993,CV Adriansyah,Bahan Baku,Medan,Sumatera Utara,0878897700090,elonsamosir@perum.ponpes.id,2024-01-20,2024-11-19,04:51:38,4.9,Aktif,08.568.949.2-611.407
SUP3640,CV Adriansyah (Persero) Tbk,Farmasi,Yogyakarta,DI Yogyakarta,0812740433558,mulyaniprabu@perum.or.id,2022-04-20,2024-12-29,07:28:31,3.7,Aktif,85.686.791.1-654.019
SUP0605,CV Adriansyah Iswahyudi (Persero) Tbk,Bahan Baku,Samarinda,Kalimantan Timur,0812608727435,qprasetyo@perum.desa.id,2016-03-05,2022-12-12,10:23:52,3.0,Aktif,97.806.008.9-821.663
SUP1948,CV Agustina,Fashion,Yogyakarta,DI Yogyakarta,0811689595862,hilda47@perum.desa.id,2024-01-18,2022-01-18,15:55:13,2.6,Aktif,23.097.332.5-018.441
SUP2724,CV Agustina,Sembako,Samarinda,Kalimantan Timur,0813837926890,situmorangulva@pd.ac.id,2018-03-29,2024-04-17,17:14:55,4.2,Aktif,37.102.642.5-779.698
SUP0700,CV Agustina Nainggolan Tbk,Bahan Baku,Makassar,Sulawesi Selatan,0895317092519,jthamrin@ud.com,2022-12-17,2024-05-25,00:59:24,4.9,Aktif,74.064.905.5-066.129
SUP2017,CV Andriani,Elektronik,Samarinda,Kalimantan Timur,0822462026599,gsirait@cv.mil.id,2019-10-29,2024-02-25,03:41:23,3.7,Aktif,68.299.769.4-370.183
SUP1048,CV Andriani (Persero) Tbk,Alat Tulis,Yogyakarta,DI Yogyakarta,0878938255066,unknown,2018-03-14,2022-09-29,00:58:30,4.7,Aktif,17.920.873.0-920.477
SUP3549,CV Andriani (Persero) Tbk,Fashion,Makassar,Sulawesi Selatan,0857814108256,zaenabyulianti@pt.go.id,2018-06-10,2024-03-11,04:37:44,4.4,Aktif,80.486.773.7-054.813
SUP0724,CV Andriani Najmudin (Persero) Tbk,Bahan Baku,Bandung,Jawa Barat,0878314345165,khalimah@pt.net.id,2016-05-05,2023-01-04,12:12:57,4.0,Aktif,69.318.408.5-209.457
SUP1820,CV Anggraini (Persero) Tbk,Bahan Baku,Makassar,Sulawesi Selatan,0878708543568,galihpuspita@perum.gov,2016-01-14,2024-06-25,17:46:22,4.2,Aktif,83.213.025.9-910.640
